name,item_type,time
天气之子,爱情／动画／奇幻,2019-11-01
误杀,剧情／犯罪,2019-12-13
唐人街探案2,喜剧／动作／悬疑,2018-02-16
活着,灾难,2020-06-24
哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
少年的你,爱情／青春／剧情,2019-10-25
战狼2,动作／战争,2017-07-27
毒液2,动作／科幻／惊悚／恐怖,2020-06-25
恐怖电影院2,恐怖／惊悚,2017-10-20
哥斯拉2：怪兽之王,科幻／灾难／动作,2019-05-31
复仇者联盟4：终局之战,动作／冒险／奇幻,2019-04-24
野性的呼唤,剧情／冒险,2020-02-21
冰雪奇缘2,喜剧／动画／冒险,2019-11-22
我和我的祖国,剧情,2019-09-30
吹哨人,剧情／犯罪／悬疑,2019-12-06
诛仙1,古装／爱情／奇幻,2019-09-13
中国机长,剧情／传记,2019-09-30
宠爱,喜剧／爱情／剧情,2019-12-31
疯狂的外星人,剧情／喜剧／科幻,2019-02-05
流浪地球,剧情／冒险／科幻,2019-02-05
两只老虎,剧情／喜剧,2019-11-29
釜山行,动作／惊悚／灾难,2016-05-13
数码宝贝大冒险：最后的进化·羁绊,动画／冒险,2020-02-21
因爱而伟大,剧情／家庭,
最美逆行,剧情,2020-06-28
攀登者,剧情／冒险,2019-09-30
银河补习班,剧情／家庭,2019-07-18
反贪风暴5,动作／犯罪,2019
囧妈,剧情／喜剧,2020-01-25
速度与激情：增压,动作／短片,2015-06-25
